scenario,rep,provider_gen,model_gen,team_id,provider_inf,member_id,dim,y_true,y_pred,is_valid,coherence_1_5,realism_1_5,voice_diversity_1_5
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,31942,ability,LOW,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,31942,productivity,LOW,LOW,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,31942,performance,LOW,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,46183,ability,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,46183,productivity,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,46183,performance,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,52934,ability,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,52934,productivity,MID,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,52934,performance,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,54019,ability,LOW,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,54019,productivity,MID,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,54019,performance,LOW,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,488135,ability,MID,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,488135,productivity,MID,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,claude,488135,performance,MID,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,31942,ability,LOW,LOW,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,31942,productivity,LOW,LOW,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,31942,performance,LOW,LOW,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,46183,ability,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,46183,productivity,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,46183,performance,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,52934,ability,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,52934,productivity,MID,MID,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,52934,performance,HIGH,HIGH,True,4,4,3
S_full_high_noise,rep_11,claude,claude-haiku-4-5,HIGH_00186,gemini,54019,ability,LOW,HIGH,True,4,4,3
