n,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,kappa_quadratic,kappa_linear,mae_ordinal,within1_acc,pred_mid_rate,precision_LOW,recall_LOW,f1_LOW,support_LOW,precision_MID,recall_MID,f1_MID,support_MID,precision_HIGH,recall_HIGH,f1_HIGH,support_HIGH,provider_gen,provider_inf,dim
1100,0.4600,0.4553,0.3787,0.3967,0.2000,0.2612,0.2149,0.6445,0.8955,0.3936,0.8333,0.0495,0.0935,303,0.5012,0.4521,0.4754,480,0.4222,0.8644,0.5673,317,claude,claude,ability
1100,0.4445,0.4340,0.3581,0.3773,0.1680,0.2850,0.2104,0.6455,0.9100,0.3545,0.8125,0.0455,0.0861,286,0.4538,0.3718,0.4088,476,0.4308,0.8846,0.5795,338,claude,claude,performance
1100,0.4382,0.4407,0.3872,0.3993,0.1648,0.2619,0.1991,0.6600,0.9018,0.3373,0.6250,0.1268,0.2108,276,0.4987,0.3635,0.4205,509,0.3893,0.8317,0.5304,315,claude,claude,productivity
1102,0.4537,0.4696,0.4110,0.4119,0.2190,0.2922,0.2367,0.6615,0.8848,0.2913,0.7692,0.1639,0.2703,305,0.5078,0.3396,0.4070,480,0.4008,0.9054,0.5557,317,claude,gemini,ability
1102,0.4918,0.5003,0.4646,0.4622,0.2683,0.3590,0.2936,0.6034,0.9047,0.2786,0.8315,0.2569,0.3926,288,0.5342,0.3445,0.4189,476,0.4306,0.8994,0.5824,338,claude,gemini,performance
1102,0.4601,0.4713,0.4336,0.4364,0.2069,0.2997,0.2391,0.6379,0.9020,0.3140,0.6095,0.2302,0.3342,278,0.5318,0.3615,0.4304,509,0.3978,0.8222,0.5362,315,claude,gemini,productivity
1102,0.6225,0.6624,0.6280,0.6069,0.4725,0.6529,0.5453,0.4020,0.9755,0.2586,0.7976,0.6459,0.7138,305,0.6596,0.3917,0.4915,480,0.5281,0.9495,0.6787,317,gemini,gemini,ability
1102,0.6361,0.6775,0.6411,0.6160,0.4985,0.6645,0.5620,0.3902,0.9737,0.2214,0.7895,0.7292,0.7581,288,0.7131,0.3655,0.4833,476,0.5355,0.9379,0.6817,338,gemini,gemini,performance
1102,0.5681,0.6035,0.5732,0.5559,0.3784,0.5419,0.4445,0.4755,0.9564,0.2895,0.6906,0.5540,0.6148,278,0.6270,0.3929,0.4831,509,0.4857,0.8635,0.6217,315,gemini,gemini,productivity
1102,0.4419,0.4673,0.4114,0.4035,0.2136,0.3077,0.2399,0.6724,0.8857,0.2495,0.8442,0.2131,0.3403,305,0.4836,0.2771,0.3523,480,0.3853,0.9117,0.5417,317,openai,gemini,ability
1102,0.4564,0.4674,0.4191,0.4152,0.2161,0.3313,0.2540,0.6416,0.9020,0.2604,0.8219,0.2083,0.3324,288,0.4739,0.2857,0.3565,476,0.4137,0.9083,0.5685,338,openai,gemini,performance
1102,0.4292,0.4386,0.3933,0.3985,0.1596,0.2502,0.1907,0.6779,0.8929,0.3103,0.7015,0.1691,0.2725,278,0.4971,0.3340,0.3995,509,0.3694,0.8127,0.5079,315,openai,gemini,productivity
1102,0.3394,0.3654,0.2403,0.2387,0.0360,0.1915,0.1073,0.7949,0.8657,0.2323,0.0000,0.0000,0.0000,305,0.3047,0.1625,0.2120,480,0.3499,0.9338,0.5090,317,openai,openai,ability
1102,0.3929,0.3924,0.2871,0.3024,0.0971,0.2365,0.1534,0.7142,0.8929,0.2877,0.0000,0.0000,0.0000,288,0.3817,0.2542,0.3052,476,0.3980,0.9231,0.5561,338,openai,openai,performance
1102,0.4065,0.3954,0.3093,0.3390,0.0967,0.1910,0.1327,0.6960,0.8975,0.3829,0.0000,0.0000,0.0000,278,0.4621,0.3831,0.4189,509,0.3726,0.8032,0.5091,315,openai,openai,productivity
