,,accuracy,accuracy,accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy,kappa_quadratic,kappa_quadratic,kappa_quadratic,macro_f1,macro_f1,macro_f1,mcc,mcc,mcc
provider_inf,,claude,gemini,openai,claude,gemini,openai,claude,gemini,openai,claude,gemini,openai,claude,gemini,openai
dim,provider_gen,,,,,,,,,,,,,,,
ability,claude,0.4600,0.4537,,0.4553,0.4696,,0.2612,0.2922,,0.3787,0.4110,,0.2000,0.2190,
ability,gemini,,0.6225,,,0.6624,,,0.6529,,,0.6280,,,0.4725,
ability,openai,,0.4419,0.3394,,0.4673,0.3654,,0.3077,0.1915,,0.4114,0.2403,,0.2136,0.0360
performance,claude,0.4445,0.4918,,0.4340,0.5003,,0.2850,0.3590,,0.3581,0.4646,,0.1680,0.2683,
performance,gemini,,0.6361,,,0.6775,,,0.6645,,,0.6411,,,0.4985,
performance,openai,,0.4564,0.3929,,0.4674,0.3924,,0.3313,0.2365,,0.4191,0.2871,,0.2161,0.0971
productivity,claude,0.4382,0.4601,,0.4407,0.4713,,0.2619,0.2997,,0.3872,0.4336,,0.1648,0.2069,
productivity,gemini,,0.5681,,,0.6035,,,0.5419,,,0.5732,,,0.3784,
productivity,openai,,0.4292,0.4065,,0.4386,0.3954,,0.2502,0.1910,,0.3933,0.3093,,0.1596,0.0967
