,,accuracy,accuracy,accuracy,macro_f1,macro_f1,macro_f1
provider_inf,,claude,gemini,openai,claude,gemini,openai
dim,provider_gen,,,,,,
ability,claude,0.4600,0.4537,,0.3787,0.4110,
ability,gemini,,0.6225,,,0.6280,
ability,openai,,0.4419,0.3394,,0.4114,0.2403
performance,claude,0.4445,0.4918,,0.3581,0.4646,
performance,gemini,,0.6361,,,0.6411,
performance,openai,,0.4564,0.3929,,0.4191,0.2871
productivity,claude,0.4382,0.4601,,0.3872,0.4336,
productivity,gemini,,0.5681,,,0.5732,
productivity,openai,,0.4292,0.4065,,0.3933,0.3093
