_id,last_experience_order,performance_mean,productivity_mean,ability_mean,perf_p_low,perf_p_med,perf_p_high,prod_p_low,prod_p_med,prod_p_high,abil_p_low,abil_p_med,abil_p_high,performance_score_mean_0_100,ability_score_mean_0_100
1,9,0.8584672510623932,1.2682703375816344,0.5300414532423019,0.1,0.1,0.8,0.1,0.2,0.7,0.2,0.2,0.6,68.1822114944458,61.730995178222656
3,5,-0.23227592309316,0.888131394982338,-0.6086761901775996,0.16666666666666666,0.8333333333333334,0.0,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.0,44.661319414774574,36.08097457885742
5,3,2.432595819234848,2.168779656291008,2.6249877512454987,0.0,0.25,0.75,0.0,0.25,0.75,0.0,0.25,0.75,83.62552070617676,85.67588901519775
6,3,0.7115659266710281,0.9666640534996986,0.3217768967151642,0.0,0.25,0.75,0.25,0.5,0.25,0.25,0.5,0.25,66.12646675109863,57.64178943634033
8,2,-0.32848286132017773,0.5553949276606241,-0.1718552311261495,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,42.85723876953125,46.41423797607422
9,7,-0.15471875667572021,0.8737490931525826,-0.6685135252773762,0.375,0.25,0.375,0.375,0.25,0.375,0.5,0.375,0.125,47.56542456150055,38.8304358124733
13,2,0.20397094885508218,0.5849566260973612,0.5858540932337443,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,54.0210927327474,62.195770263671875
14,7,1.3138108402490616,1.0039948234334588,2.0429456681013107,0.25,0.0,0.75,0.25,0.125,0.625,0.0,0.25,0.75,72.74739837646484,81.89497947692871
17,3,0.9299496114253998,1.6835567690432072,0.6084536761045456,0.25,0.25,0.5,0.25,0.0,0.75,0.25,0.25,0.5,64.74376463890076,60.466543436050415
19,2,0.2834890236457189,1.0798558791478474,0.038216968377431236,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,55.2313117980957,50.084129333496094
23,4,0.10180026888847352,0.9281361877918244,-0.03180275559425354,0.2,0.6,0.2,0.2,0.2,0.6,0.2,0.8,0.0,53.35329322814941,50.3845272064209
30,3,1.2477819323539734,1.4034487009048462,0.7338192462921143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,77.23287200927734,67.15755081176758
