_id,last_experience_order,performance_mean,productivity_mean,ability_mean,perf_p_low,perf_p_med,perf_p_high,prod_p_low,prod_p_med,prod_p_high,abil_p_low,abil_p_med,abil_p_high,performance_score_mean_0_100,ability_score_mean_0_100
1,9,0.08471551798284054,1.01896413564682,0.03637279495596886,0.3,0.4,0.3,0.3,0.1,0.6,0.4,0.4,0.2,51.45852394104004,50.49303512573242
3,5,0.2847433735926946,0.7503556435306867,0.5463178555170695,0.16666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,56.32590548197428,63.11257553100586
5,3,0.09485676209442317,0.6667725089937449,0.05049996078014374,0.25,0.5,0.25,0.25,0.5,0.25,0.25,0.5,0.25,52.31031131744385,52.850122928619385
6,3,-0.3208094462752342,0.8237136825919151,-0.8982956111431122,0.25,0.75,0.0,0.5,0.25,0.25,0.5,0.5,0.0,43.08065605163574,30.684671878814697
8,2,-0.546791577556481,0.5267088959614435,0.10939574241638184,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,38.0266539255778,51.97163645426432
9,7,-0.3081899946555495,0.7534472681581974,-0.3861157540231943,0.625,0.25,0.125,0.25,0.625,0.125,0.5,0.25,0.25,42.86700749397278,42.1275349855423
13,2,-0.1599184051156044,0.7948340872923533,0.025406397879123688,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,46.519082387288414,50.62660217285156
14,7,-0.3497728034853935,0.7138363821431994,-0.16290482878684998,0.625,0.25,0.125,0.375,0.375,0.25,0.375,0.375,0.25,41.721617698669434,46.473183155059814
17,3,0.42434975504875183,0.877096489071846,0.6322326362133026,0.0,0.75,0.25,0.5,0.25,0.25,0.0,0.5,0.5,59.52298927307129,63.75307750701904
19,2,0.2875618040561676,0.7349145412445068,-0.12045507629712422,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,56.89622243245443,48.668161392211914
23,4,0.14145208299160003,0.6089717388153076,0.05157407522201538,0.2,0.4,0.4,0.8,0.0,0.2,0.6,0.0,0.4,54.16667366027832,49.319374084472656
30,3,0.5543078524060547,0.9148529097437859,-0.014132976066321135,0.25,0.5,0.25,0.25,0.25,0.5,0.0,0.75,0.25,59.180641174316406,49.565632820129395
32,2,-0.8632077773412069,0.7461014042297999,0.11740492284297943,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,29.69218635559082,52.74929682413737
34,7,-0.1932551134377718,0.8209117222577333,-1.3162482529878616,0.375,0.625,0.0,0.375,0.25,0.375,0.75,0.125,0.125,45.3597993850708,26.960826694965363
35,9,-0.09981937259435654,0.7420389264822006,0.020007516816258432,0.4,0.6,0.0,0.5,0.3,0.2,0.1,0.7,0.2,47.805378913879395,50.65028457641601
40,15,0.33206488913856447,0.8885745778679848,-0.3832784795667976,0.125,0.5625,0.3125,0.3125,0.375,0.3125,0.375,0.5625,0.0625,56.891143441200256,42.385581731796265
41,6,0.7120568986449923,0.8234347019876752,0.38281834977013723,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.2857142857142857,64.8476390838623,57.880711691720144
43,6,0.24502777281616414,0.9405883720942906,0.3477039680417095,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855,55.27990504673549,57.38892636980329
44,4,-0.7003227051347494,1.262689533829689,-0.08749114871025085,0.4,0.6,0.0,0.2,0.2,0.6,0.2,0.4,0.4,36.84330444335937,51.869553852081296
46,3,-1.0443183535244316,0.46360141411423683,-0.09617727249860764,0.75,0.25,0.0,0.5,0.5,0.0,0.5,0.0,0.5,28.462154150009155,48.239652156829834
54,3,0.1247791675850749,1.1812013909220695,0.10644497722387314,0.25,0.5,0.25,0.5,0.0,0.5,0.5,0.25,0.25,50.95055675506592,51.57381343841553
60,6,-0.26254646267209736,0.8925969749689102,0.2824148181825876,0.42857142857142855,0.5714285714285714,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.5714285714285714,0.2857142857142857,44.990323884146555,56.644253322056365
81,10,-0.5295067463408817,0.6603912467306311,0.25490896132859314,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.45454545454545453,39.61767630143599,54.762134378606625
83,3,0.2586546391248703,0.8347045108675957,-0.4086862914264202,0.5,0.0,0.5,0.5,0.25,0.25,0.5,0.5,0.0,54.91722011566162,40.14885997772217
85,2,0.5528615713119507,1.0119498074054718,-0.314230519036452,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,63.384508768717446,44.176535288492836
87,7,-0.3053443059325218,0.7970007862895727,0.09902327693998814,0.625,0.125,0.25,0.375,0.375,0.25,0.125,0.625,0.25,43.01309037208557,52.268091917037964
89,2,0.6911167701085409,1.1586830814679463,-0.15732417752345404,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,62.470540364583336,47.385538736979164
90,5,-0.6016562481721243,0.7171690861384074,0.5818318476279577,0.5,0.5,0.0,0.16666666666666666,0.8333333333333334,0.0,0.3333333333333333,0.0,0.6666666666666666,38.17665640513102,62.16824086507162
91,4,-0.23388519883155823,0.8656661033630371,0.3159731425344944,0.4,0.2,0.4,0.2,0.4,0.4,0.0,0.8,0.2,46.324635696411136,57.67125930786133
93,8,-0.07697857916355133,0.858032171924909,-0.04525223539935218,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,47.6049796210395,49.201805114746094
95,2,0.1589245597521464,0.5165487627188364,0.037984699010849,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.0,53.82917849222819,50.916220347086586
102,3,-0.01420542597770691,0.5240428671240807,-0.007714994251728058,0.5,0.0,0.5,0.25,0.75,0.0,0.5,0.25,0.25,49.662261962890625,47.802125453948975
106,4,0.8501773238182068,1.0771848440170289,-0.3808455511927605,0.2,0.4,0.4,0.2,0.2,0.6,0.4,0.6,0.0,63.689216232299806,42.47801895141602
107,7,-0.5559895280748606,0.7703780345618725,0.24893397564301267,0.5,0.375,0.125,0.25,0.625,0.125,0.375,0.25,0.375,38.427374482154846,54.93918526172638
111,2,-0.32407643894354504,0.4518540898958842,-0.9426346607506275,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,42.36203575134277,29.935309727986652
112,6,0.022304372595889226,0.5154392846993038,-0.29694099724292755,0.2857142857142857,0.7142857142857143,0.0,0.5714285714285714,0.42857142857142855,0.0,0.42857142857142855,0.5714285714285714,0.0,51.02805028642927,43.21115357535226
118,4,-0.6656738638877868,0.7467815577983856,0.005345094203948975,0.4,0.6,0.0,0.2,0.6,0.2,0.4,0.2,0.4,36.0765079498291,51.565756225585936
126,10,0.42598767849532043,0.8333858847618103,-0.5692547739229419,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.6363636363636364,0.2727272727272727,0.09090909090909091,58.2958869934082,37.456924785267226
134,2,0.07154889901479085,0.3457884689172109,-0.2545979519685109,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.0,47.66421381632487,45.642526626586914
140,5,0.014819393555323282,0.6170979390541712,0.10750071331858635,0.3333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.3333333333333333,50.1543935139974,52.576267878214516
143,2,0.2691502769788106,1.0191234548886616,-0.8967307657003403,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,56.088396072387695,31.46153990427653
146,10,-0.2942166992209174,0.9699299823154103,-0.17160333842250772,0.45454545454545453,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.45454545454545453,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.2727272727272727,43.472375349564985,46.841202302412555
147,4,-0.08257856220006943,0.7466293573379517,0.33302663564682006,0.4,0.4,0.2,0.2,0.6,0.2,0.4,0.2,0.4,48.175545120239256,56.75699234008789
148,3,0.6554108560085297,0.5736256763339043,-0.6635727267712355,0.25,0.0,0.75,0.25,0.75,0.0,0.5,0.5,0.0,64.16067314147949,36.401999711990356
154,2,-0.2659638126691182,1.0525301297505696,0.5829091916481653,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,43.52967071533203,63.72726821899414
