group_id,category,_id
HIGH_00001,HIGH,9720
HIGH_00001,HIGH,16543
HIGH_00001,HIGH,92745
HIGH_00001,HIGH,95376
HIGH_00001,HIGH,161527
HIGH_00001,HIGH,199582
HIGH_00001,HIGH,200002
HIGH_00001,HIGH,206418
HIGH_00001,HIGH,213113
HIGH_00001,HIGH,214439
HIGH_00001,HIGH,232018
HIGH_00001,HIGH,257657
HIGH_00001,HIGH,288274
HIGH_00001,HIGH,329987
HIGH_00001,HIGH,518376
HIGH_00002,HIGH,28181
HIGH_00002,HIGH,39688
HIGH_00002,HIGH,55191
HIGH_00002,HIGH,66355
HIGH_00002,HIGH,81088
HIGH_00002,HIGH,88063
HIGH_00002,HIGH,88864
HIGH_00002,HIGH,94057
HIGH_00002,HIGH,96792
HIGH_00002,HIGH,172045
HIGH_00002,HIGH,225797
HIGH_00002,HIGH,298093
HIGH_00002,HIGH,329101
HIGH_00002,HIGH,332118
HIGH_00002,HIGH,369166
HIGH_00003,HIGH,15892
HIGH_00003,HIGH,71391
HIGH_00003,HIGH,77569
HIGH_00003,HIGH,97911
HIGH_00003,HIGH,139289
HIGH_00003,HIGH,152787
HIGH_00003,HIGH,234395
HIGH_00003,HIGH,248579
HIGH_00003,HIGH,249318
HIGH_00003,HIGH,256981
HIGH_00003,HIGH,310423
HIGH_00003,HIGH,362716
HIGH_00003,HIGH,396515
HIGH_00003,HIGH,450110
HIGH_00003,HIGH,453142
HIGH_00004,HIGH,1353
HIGH_00004,HIGH,34785
HIGH_00004,HIGH,41617
HIGH_00004,HIGH,91081
HIGH_00004,HIGH,127887
HIGH_00004,HIGH,193244
HIGH_00004,HIGH,225534
HIGH_00004,HIGH,228466
HIGH_00004,HIGH,273076
HIGH_00005,HIGH,28906
HIGH_00005,HIGH,30393
HIGH_00005,HIGH,43855
HIGH_00005,HIGH,49513
HIGH_00005,HIGH,61852
HIGH_00005,HIGH,124247
HIGH_00005,HIGH,203938
HIGH_00005,HIGH,281471
HIGH_00005,HIGH,376084
HIGH_00005,HIGH,391728
HIGH_00005,HIGH,402588
HIGH_00005,HIGH,433773
HIGH_00005,HIGH,437340
HIGH_00005,HIGH,443416
HIGH_00005,HIGH,479411
HIGH_00006,HIGH,60639
HIGH_00006,HIGH,77498
HIGH_00006,HIGH,121671
HIGH_00006,HIGH,124372
HIGH_00006,HIGH,167940
HIGH_00006,HIGH,223536
HIGH_00006,HIGH,265417
HIGH_00006,HIGH,276981
HIGH_00006,HIGH,289711
HIGH_00006,HIGH,337913
HIGH_00006,HIGH,342917
HIGH_00006,HIGH,349724
HIGH_00006,HIGH,459786
HIGH_00006,HIGH,515317
HIGH_00006,HIGH,515322
HIGH_00007,HIGH,13375
HIGH_00007,HIGH,18808
HIGH_00007,HIGH,33482
HIGH_00007,HIGH,33818
HIGH_00007,HIGH,36769
HIGH_00007,HIGH,53684
HIGH_00007,HIGH,87382
HIGH_00007,HIGH,109236
HIGH_00007,HIGH,117679
HIGH_00007,HIGH,149354
HIGH_00007,HIGH,247941
HIGH_00007,HIGH,285057
HIGH_00007,HIGH,306600
HIGH_00007,HIGH,308668
HIGH_00007,HIGH,342922
HIGH_00008,HIGH,12700
HIGH_00008,HIGH,51123
HIGH_00008,HIGH,68007
HIGH_00008,HIGH,74650
HIGH_00008,HIGH,145189
HIGH_00008,HIGH,149924
HIGH_00008,HIGH,213327
HIGH_00008,HIGH,342550
HIGH_00009,HIGH,16252
HIGH_00009,HIGH,19533
HIGH_00009,HIGH,40467
HIGH_00009,HIGH,50223
HIGH_00009,HIGH,56761
HIGH_00009,HIGH,69074
HIGH_00009,HIGH,90108
HIGH_00009,HIGH,97011
HIGH_00009,HIGH,162806
HIGH_00009,HIGH,207678
HIGH_00009,HIGH,239501
HIGH_00009,HIGH,336606
HIGH_00009,HIGH,384737
HIGH_00009,HIGH,438595
HIGH_00009,HIGH,514812
HIGH_00010,HIGH,33402
HIGH_00010,HIGH,34924
HIGH_00010,HIGH,55753
HIGH_00010,HIGH,59516
HIGH_00010,HIGH,94863
HIGH_00010,HIGH,96229
HIGH_00010,HIGH,97048
HIGH_00010,HIGH,214979
HIGH_00010,HIGH,230015
HIGH_00010,HIGH,233256
HIGH_00010,HIGH,331413
HIGH_00010,HIGH,332888
HIGH_00010,HIGH,338196
HIGH_00010,HIGH,343891
HIGH_00010,HIGH,350455
HIGH_00011,HIGH,90430
HIGH_00011,HIGH,107501
HIGH_00011,HIGH,131175
HIGH_00011,HIGH,137833
HIGH_00011,HIGH,158829
HIGH_00011,HIGH,220460
HIGH_00011,HIGH,239913
HIGH_00011,HIGH,323994
HIGH_00011,HIGH,367577
HIGH_00011,HIGH,421393
HIGH_00011,HIGH,446749
HIGH_00011,HIGH,486036
HIGH_00011,HIGH,540291
HIGH_00011,HIGH,549301
HIGH_00011,HIGH,560763
HIGH_00012,HIGH,42318
HIGH_00012,HIGH,240069
HIGH_00012,HIGH,240545
HIGH_00012,HIGH,243650
HIGH_00012,HIGH,249807
HIGH_00012,HIGH,257959
HIGH_00012,HIGH,268318
HIGH_00012,HIGH,319248
HIGH_00012,HIGH,348815
HIGH_00012,HIGH,350263
HIGH_00012,HIGH,350374
HIGH_00012,HIGH,428837
HIGH_00012,HIGH,477716
HIGH_00012,HIGH,524575
HIGH_00012,HIGH,545481
HIGH_00013,HIGH,9742
HIGH_00013,HIGH,75540
HIGH_00013,HIGH,150389
HIGH_00013,HIGH,206556
HIGH_00013,HIGH,236825
HIGH_00013,HIGH,258459
HIGH_00013,HIGH,261132
HIGH_00013,HIGH,306189
HIGH_00013,HIGH,308756
HIGH_00013,HIGH,424870
HIGH_00013,HIGH,470107
HIGH_00013,HIGH,535213
HIGH_00014,HIGH,70642
HIGH_00014,HIGH,94321
HIGH_00014,HIGH,106804
HIGH_00014,HIGH,110889
HIGH_00014,HIGH,114312
HIGH_00014,HIGH,149780
HIGH_00014,HIGH,159364
HIGH_00014,HIGH,172874
HIGH_00014,HIGH,217764
HIGH_00014,HIGH,319174
HIGH_00014,HIGH,399372
HIGH_00014,HIGH,443152
HIGH_00014,HIGH,474091
HIGH_00014,HIGH,528343
HIGH_00014,HIGH,542191
HIGH_00015,HIGH,205718
HIGH_00015,HIGH,215884
HIGH_00015,HIGH,231535
HIGH_00015,HIGH,236369
HIGH_00015,HIGH,237625
HIGH_00015,HIGH,243881
HIGH_00015,HIGH,259266
HIGH_00015,HIGH,285126
HIGH_00015,HIGH,289490
HIGH_00015,HIGH,290722
HIGH_00015,HIGH,290982
HIGH_00015,HIGH,291209
HIGH_00015,HIGH,297058
HIGH_00015,HIGH,298473
HIGH_00015,HIGH,306155
HIGH_00016,HIGH,21311
HIGH_00016,HIGH,42060
HIGH_00016,HIGH,99014
HIGH_00016,HIGH,184656
HIGH_00016,HIGH,317913
HIGH_00016,HIGH,499486
HIGH_00017,HIGH,42891
HIGH_00017,HIGH,42895
HIGH_00017,HIGH,49329
HIGH_00017,HIGH,50731
HIGH_00017,HIGH,56218
HIGH_00017,HIGH,74348
HIGH_00017,HIGH,258096
HIGH_00018,HIGH,18477
HIGH_00018,HIGH,19227
HIGH_00018,HIGH,131398
HIGH_00018,HIGH,256065
HIGH_00018,HIGH,271847
HIGH_00018,HIGH,339316
HIGH_00019,HIGH,101788
HIGH_00019,HIGH,224446
HIGH_00019,HIGH,227414
HIGH_00019,HIGH,343962
HIGH_00019,HIGH,345377
HIGH_00019,HIGH,348255
HIGH_00019,HIGH,348640
HIGH_00019,HIGH,450000
HIGH_00019,HIGH,450550
HIGH_00019,HIGH,458636
HIGH_00019,HIGH,465542
HIGH_00019,HIGH,468178
HIGH_00019,HIGH,487328
HIGH_00019,HIGH,493592
HIGH_00019,HIGH,493947
HIGH_00020,HIGH,9468
HIGH_00020,HIGH,13330
HIGH_00020,HIGH,45396
HIGH_00020,HIGH,80140
HIGH_00020,HIGH,137563
HIGH_00020,HIGH,161605
HIGH_00020,HIGH,242444
HIGH_00020,HIGH,251871
HIGH_00020,HIGH,260683
HIGH_00020,HIGH,278044
HIGH_00020,HIGH,329202
HIGH_00020,HIGH,357958
HIGH_00020,HIGH,365011
HIGH_00020,HIGH,379650
HIGH_00020,HIGH,515096
HIGH_00021,HIGH,8582
HIGH_00021,HIGH,43813
HIGH_00021,HIGH,57602
HIGH_00021,HIGH,84042
HIGH_00021,HIGH,103400
HIGH_00021,HIGH,296783
HIGH_00021,HIGH,314444
HIGH_00021,HIGH,318008
HIGH_00021,HIGH,331910
HIGH_00021,HIGH,388822
HIGH_00021,HIGH,466334
HIGH_00021,HIGH,520357
HIGH_00022,HIGH,40062
HIGH_00022,HIGH,78524
HIGH_00022,HIGH,99317
HIGH_00022,HIGH,159831
HIGH_00022,HIGH,174042
HIGH_00022,HIGH,221593
HIGH_00022,HIGH,234439
HIGH_00022,HIGH,245073
HIGH_00022,HIGH,248240
HIGH_00022,HIGH,288575
HIGH_00022,HIGH,317800
HIGH_00022,HIGH,397781
HIGH_00022,HIGH,399916
HIGH_00022,HIGH,476572
HIGH_00022,HIGH,519986
HIGH_00023,HIGH,34817
HIGH_00023,HIGH,62963
HIGH_00023,HIGH,77431
HIGH_00023,HIGH,103584
HIGH_00023,HIGH,112665
HIGH_00023,HIGH,194057
HIGH_00023,HIGH,281710
HIGH_00023,HIGH,326231
HIGH_00023,HIGH,378757
HIGH_00024,HIGH,72573
HIGH_00024,HIGH,107662
HIGH_00024,HIGH,109863
HIGH_00024,HIGH,113365
HIGH_00024,HIGH,230078
HIGH_00024,HIGH,234920
HIGH_00024,HIGH,239084
HIGH_00024,HIGH,347701
HIGH_00024,HIGH,361858
HIGH_00024,HIGH,365737
HIGH_00024,HIGH,454458
HIGH_00024,HIGH,463480
HIGH_00024,HIGH,470334
HIGH_00024,HIGH,509402
HIGH_00024,HIGH,534820
HIGH_00025,HIGH,43340
HIGH_00025,HIGH,45624
HIGH_00025,HIGH,74087
HIGH_00025,HIGH,95308
HIGH_00025,HIGH,124960
HIGH_00025,HIGH,206525
HIGH_00025,HIGH,222078
HIGH_00025,HIGH,242923
HIGH_00025,HIGH,255462
HIGH_00025,HIGH,287224
HIGH_00025,HIGH,336162
HIGH_00025,HIGH,341120
HIGH_00025,HIGH,379870
HIGH_00025,HIGH,391818
HIGH_00025,HIGH,537405
HIGH_00026,HIGH,104246
HIGH_00026,HIGH,119568
HIGH_00026,HIGH,362249
HIGH_00026,HIGH,426236
HIGH_00026,HIGH,462882
HIGH_00026,HIGH,514548
HIGH_00026,HIGH,526442
HIGH_00027,HIGH,5080
HIGH_00027,HIGH,7052
HIGH_00027,HIGH,10431
HIGH_00027,HIGH,13876
HIGH_00027,HIGH,16619
HIGH_00027,HIGH,42644
HIGH_00027,HIGH,50639
HIGH_00027,HIGH,67939
HIGH_00027,HIGH,73241
HIGH_00027,HIGH,90883
HIGH_00027,HIGH,117415
HIGH_00027,HIGH,155070
HIGH_00027,HIGH,271520
HIGH_00027,HIGH,276064
HIGH_00027,HIGH,347389
HIGH_00028,HIGH,137169
HIGH_00028,HIGH,160096
HIGH_00028,HIGH,197990
HIGH_00028,HIGH,225052
HIGH_00028,HIGH,227932
HIGH_00028,HIGH,250069
HIGH_00028,HIGH,269203
HIGH_00028,HIGH,292358
HIGH_00028,HIGH,310074
HIGH_00028,HIGH,311418
HIGH_00028,HIGH,335318
HIGH_00028,HIGH,344702
HIGH_00028,HIGH,424248
HIGH_00028,HIGH,486171
HIGH_00028,HIGH,523140
HIGH_00029,HIGH,14382
HIGH_00029,HIGH,15111
HIGH_00029,HIGH,24407
HIGH_00029,HIGH,25324
HIGH_00029,HIGH,38274
HIGH_00029,HIGH,62496
HIGH_00029,HIGH,87118
HIGH_00029,HIGH,105331
HIGH_00029,HIGH,133524
HIGH_00029,HIGH,165311
HIGH_00029,HIGH,328515
HIGH_00029,HIGH,481100
HIGH_00030,HIGH,35700
HIGH_00030,HIGH,106157
HIGH_00030,HIGH,133653
HIGH_00030,HIGH,155747
HIGH_00030,HIGH,236360
HIGH_00030,HIGH,279642
HIGH_00030,HIGH,283266
HIGH_00030,HIGH,324527
HIGH_00030,HIGH,446359
HIGH_00030,HIGH,478673
HIGH_00030,HIGH,526903
HIGH_00030,HIGH,532319
HIGH_00030,HIGH,560759
HIGH_00030,HIGH,564967
HIGH_00031,HIGH,80905
HIGH_00031,HIGH,90791
HIGH_00031,HIGH,132179
HIGH_00031,HIGH,162069
HIGH_00031,HIGH,176839
HIGH_00031,HIGH,206087
HIGH_00031,HIGH,251873
HIGH_00031,HIGH,377276
HIGH_00031,HIGH,396272
HIGH_00031,HIGH,423753
HIGH_00031,HIGH,424882
HIGH_00031,HIGH,472785
HIGH_00031,HIGH,508173
HIGH_00031,HIGH,520393
HIGH_00031,HIGH,529394
HIGH_00032,HIGH,21623
HIGH_00032,HIGH,62218
HIGH_00032,HIGH,69569
HIGH_00032,HIGH,79785
HIGH_00032,HIGH,94523
HIGH_00032,HIGH,145315
HIGH_00032,HIGH,161675
HIGH_00032,HIGH,182082
HIGH_00032,HIGH,183375
HIGH_00032,HIGH,184212
HIGH_00032,HIGH,269371
HIGH_00032,HIGH,336599
HIGH_00032,HIGH,341354
HIGH_00032,HIGH,354818
HIGH_00032,HIGH,450388
HIGH_00033,HIGH,2801
HIGH_00033,HIGH,4215
HIGH_00033,HIGH,53782
HIGH_00033,HIGH,101398
HIGH_00033,HIGH,152539
HIGH_00033,HIGH,197682
HIGH_00033,HIGH,209954
HIGH_00033,HIGH,210031
HIGH_00033,HIGH,252783
HIGH_00033,HIGH,326426
HIGH_00033,HIGH,338677
HIGH_00033,HIGH,424325
HIGH_00033,HIGH,467095
HIGH_00033,HIGH,483364
HIGH_00033,HIGH,491655
HIGH_00034,HIGH,11375
HIGH_00034,HIGH,58809
HIGH_00034,HIGH,72860
HIGH_00034,HIGH,74137
HIGH_00034,HIGH,123616
HIGH_00034,HIGH,130201
HIGH_00034,HIGH,142241
HIGH_00034,HIGH,204147
HIGH_00034,HIGH,224619
HIGH_00034,HIGH,236395
HIGH_00034,HIGH,272784
